,step,llc
0,0,0.3188471496105194
1,100,0.27632179856300354
2,200,0.29385340213775635
3,300,0.3823436200618744
4,400,0.3272489011287689
5,500,0.36181044578552246
6,600,0.3361838459968567
7,700,0.3488965630531311
8,800,0.3916115164756775
9,900,0.34971699118614197
10,1000,0.43908175826072693
11,1100,0.36311599612236023
12,1200,0.3820815980434418
13,1300,0.4002501666545868
14,1400,0.3642493188381195
15,1500,0.4289909899234772
16,1600,0.38822901248931885
17,1700,0.33843082189559937
18,1800,0.3768083155155182
19,1900,0.46257564425468445
20,2000,0.388348788022995
21,2100,0.377581924200058
22,2200,0.41572317481040955
23,2300,0.38453981280326843
24,2400,0.4292071759700775
25,2500,0.5376670360565186
26,2600,0.41825565695762634
27,2700,0.42593079805374146
28,2800,0.4897128641605377
29,2900,0.47169023752212524
30,3000,0.3802430331707001
31,3100,0.48074960708618164
32,3200,0.42425766587257385
33,3300,0.46592989563941956
34,3400,0.4487089216709137
35,3500,0.4586995542049408
36,3600,0.4435303211212158
37,3700,0.42916592955589294
38,3800,0.4985993504524231
39,3900,0.500637948513031
40,4000,0.43308305740356445
41,4100,0.5279532074928284
42,4200,0.45192351937294006
43,4300,0.4416738450527191
44,4400,0.4413735568523407
45,4500,0.41874614357948303
46,4600,0.4672209918498993
47,4700,0.4443782866001129
48,4800,0.5449672341346741
49,4900,0.4102359712123871
50,5000,0.4797384440898895
51,5100,0.5275904536247253
52,5200,0.507716178894043
53,5300,0.5428353548049927
54,5400,0.4481182098388672
55,5500,0.4631074368953705
56,5600,0.4474508464336395
57,5700,0.5619325041770935
58,5800,0.5035130381584167
59,5900,0.42775318026542664
60,6000,0.42986637353897095
61,6100,0.49634677171707153
62,6200,0.4985372722148895
63,6300,0.5338857173919678
64,6400,0.486171156167984
65,6500,0.46772655844688416
66,6600,0.5196022391319275
67,6700,0.45820847153663635
68,6800,0.5735841989517212
69,6900,0.5384528636932373
70,7000,0.4177830219268799
71,7100,0.5449872016906738
72,7200,0.47061753273010254
73,7300,0.4287737011909485
74,7400,0.5446897745132446
75,7500,0.5277974009513855
76,7600,0.5304023623466492
77,7700,0.5445941090583801
78,7800,0.4930654466152191
79,7900,0.513425886631012
80,8000,0.47799205780029297
81,8100,0.5565326809883118
82,8200,0.5881500244140625
83,8300,0.5420438647270203
84,8400,0.5769311785697937
85,8500,0.45372501015663147
86,8600,0.5101111531257629
87,8700,0.5561618208885193
88,8800,0.5171668529510498
89,8900,0.6288571357727051
90,9000,0.526218593120575
91,9100,0.47757264971733093
92,9200,0.548052966594696
93,9300,0.5087458491325378
94,9400,0.5294885039329529
95,9500,0.49893736839294434
96,9600,0.47889968752861023
97,9700,0.57149338722229
98,9800,0.4999893605709076
99,9900,0.44037094712257385
